ID,description,prise,region,promo_price,url
3594631,Конструктор LEGO Super Heroes Веном 76187,5169,"['RU-MOW', 'RU-SPE']",5999,https://www.detmir.ru/product/index/id/3594631/
3244533,Конструктор LEGO City Исследовательская база 60265,3409,"['RU-MOW', 'RU-SPE']",5499,https://www.detmir.ru/product/index/id/3244533/
3405532,Конструктор LEGO DUPLO Town Фермерский трактор сарай и животные 10952,3899,"['RU-MOW', 'RU-SPE']",6499,https://www.detmir.ru/product/index/id/3405532/
3226679,Конструктор LEGO City Great Vehicles Строительный бульдозер 60252,929,"['RU-MOW', 'RU-SPE']",1499,https://www.detmir.ru/product/index/id/3226679/
3226727,Конструктор LEGO Super Heroes Железный человек 76140,639,"['RU-MOW', 'RU-SPE']",999,https://www.detmir.ru/product/index/id/3226727/
3405620,Конструктор LEGO Ninjago Мотоцикл Ллойда для джунглей 71745,1089,"['RU-MOW', 'RU-SPE']",1699,https://www.detmir.ru/product/index/id/3405620/
3405584,Конструктор LEGO City Fire Команда пожарных 60282,2949,"['RU-MOW', 'RU-SPE']",4999,https://www.detmir.ru/product/index/id/3405584/
3386282,Конструктор LEGO Minecraft Торговый пост 21167,1199,"['RU-MOW', 'RU-SPE']",1799,https://www.detmir.ru/product/index/id/3386282/
3226750,Конструктор LEGO Speed Champions Lamborghini Urus ST-X Lamborghini Huracan Super Trofeo EVO 76899,3419,"['RU-MOW', 'RU-SPE']",5499,https://www.detmir.ru/product/index/id/3226750/
3244603,Конструктор LEGO Star Wars Клоны-пехотинцы 501легиона 75280,1759,"['RU-MOW', 'RU-SPE']",2799,https://www.detmir.ru/product/index/id/3244603/
3405525,Конструктор LEGO DUPLO Classic Шкатулка-сердечко 10909,1169,"['RU-MOW', 'RU-SPE']",1599,https://www.detmir.ru/product/index/id/3405525/
3596771,Конструктор LEGO Creator Средневековый замок 31120,5629,"['RU-MOW', 'RU-SPE']",8999,https://www.detmir.ru/product/index/id/3596771/
3244512,Конструктор LEGO Friends Самолёт в Хартлейк Сити 41429,3609,"['RU-MOW', 'RU-SPE']",6499,https://www.detmir.ru/product/index/id/3244512/
3244511,Конструктор LEGO Friends Пляжный домик 41428,2819,"['RU-MOW', 'RU-SPE']",4499,https://www.detmir.ru/product/index/id/3244511/
3233714,Конструктор LEGO DUPLO Большая строительная пластина 2304,849,"['RU-MOW', 'RU-SPE']",1299,https://www.detmir.ru/product/index/id/3233714/
3405643,Конструктор LEGO Star Wars Истребитель типа Х Люка Скайуокера 75301,2959,"['RU-MOW', 'RU-SPE']",4699,https://www.detmir.ru/product/index/id/3405643/
3597027,Конструктор LEGO Super Heroes Железный человек: схватка с Железным Торговцем 76190,2299,"['RU-MOW', 'RU-SPE']",3699,https://www.detmir.ru/product/index/id/3597027/
3405578,Конструктор LEGO My City Современный дом для семьи 60291,2759,"['RU-MOW', 'RU-SPE']",4499,https://www.detmir.ru/product/index/id/3405578/
3596755,Конструктор LEGO DUPLO Town Семейное приключение на микроавтобусе 10946,1529,"['RU-MOW', 'RU-SPE']",2499,https://www.detmir.ru/product/index/id/3596755/
3405646,Конструктор LEGO Technic Гоночный самолёт 42117,699,"['RU-MOW', 'RU-SPE']",899,https://www.detmir.ru/product/index/id/3405646/
3144136,Конструктор LEGO Minecraft Последняя битва 21151,1249,['RU-MOW'],1799,https://www.detmir.ru/product/index/id/3144136/
3405600,Конструктор LEGO DC Super Heroes Человек-Паук и Призрачный Гонщик против Карнажа 76173,1649,"['RU-MOW', 'RU-SPE']",1799,https://www.detmir.ru/product/index/id/3405600/
3405624,Конструктор LEGO Ninjago Турнир стихий 71735,1819,"['RU-MOW', 'RU-SPE']",2599,https://www.detmir.ru/product/index/id/3405624/
3244613,Конструктор LEGO Technic Бетономешалка 42112,5939,"['RU-MOW', 'RU-SPE']",9499,https://www.detmir.ru/product/index/id/3244613/
3405593,Конструктор LEGO City Great Vehicles Транспортировка карта 60288,939,"['RU-MOW', 'RU-SPE']",1499,https://www.detmir.ru/product/index/id/3405593/
3244591,Конструктор LEGO Ninjago Дракон чародея-скелета 71721,4499,"['RU-MOW', 'RU-SPE']",7499,https://www.detmir.ru/product/index/id/3244591/
3405555,Конструктор LEGO Friends Ветеринарная клиника Хартлейк-Сити 41446,2339,"['RU-MOW', 'RU-SPE']",3599,https://www.detmir.ru/product/index/id/3405555/
3188096,Конструктор LEGO DUPLO Princess Ледяной замок 10899,2699,"['RU-MOW', 'RU-SPE']",4499,https://www.detmir.ru/product/index/id/3188096/
3405563,Конструктор LEGO Dots Секретная шкатулка 41924,1599,"['RU-MOW', 'RU-SPE']",1759,https://www.detmir.ru/product/index/id/3405563/
3597049,Конструктор LEGO Speed Champions Chevrolet Corvette C8.R Race Car and 1968 Chevrolet Corvette 76903,2179,"['RU-MOW', 'RU-SPE']",3699,https://www.detmir.ru/product/index/id/3597049/
3596878,Конструктор LEGO Disney Princess Книга сказочных приключений Ариэль Белль Золушки и Тианы 43193,1479,"['RU-MOW', 'RU-SPE']",1999,https://www.detmir.ru/product/index/id/3596878/
3596781,Конструктор LEGO Friends Лесной дом на колесах и парусная лодка 41681,2549,"['RU-MOW', 'RU-SPE']",4499,https://www.detmir.ru/product/index/id/3596781/
3226695,Конструктор LEGO City Nitro Wheels Тюнинг-мастерская 60258,5089,"['RU-MOW', 'RU-SPE']",8999,https://www.detmir.ru/product/index/id/3226695/
3405655,Конструктор LEGO Technic Ferrari 488 GTE 42125,10489,"['RU-MOW', 'RU-SPE']",16899,https://www.detmir.ru/product/index/id/3405655/
3226589,Конструктор LEGO Creator Спортивный автомобиль 31100,579,"['RU-MOW', 'RU-SPE']",899,https://www.detmir.ru/product/index/id/3226589/
3244579,Конструктор LEGO Super Mario Битва в замке Боузера 71369,5399,['RU-MOW'],8999,https://www.detmir.ru/product/index/id/3244579/
3226678,Конструктор LEGO City Great Vehicles Монстр-трак 60251,449,"['RU-MOW', 'RU-SPE']",749,https://www.detmir.ru/product/index/id/3226678/
3244601,Конструктор LEGO Minecraft Битва за красную пыль 21163,3919,"['RU-MOW', 'RU-SPE']",4699,https://www.detmir.ru/product/index/id/3244601/
3405632,Конструктор LEGO Harry Potter Учёба в Хогвартсе Урок трансфигурации 76382,1749,"['RU-MOW', 'RU-SPE']",2799,https://www.detmir.ru/product/index/id/3405632/
3244590,Конструктор LEGO Ninjago Каменный робот огня 71720,3739,"['RU-MOW', 'RU-SPE']",6499,https://www.detmir.ru/product/index/id/3244590/
3244510,Конструктор LEGO Friends Штаб спасателей 41424,4479,"['RU-MOW', 'RU-SPE']",7499,https://www.detmir.ru/product/index/id/3244510/
3092799,Конструктор LEGO DUPLO Disney День рождения Минни (10873),1529,['RU-MOW'],1699,https://www.detmir.ru/product/index/id/3092799/
3142016,Конструктор LEGO DUPLO My First Мои первые машинки 10886,979,"['RU-MOW', 'RU-SPE']",1599,https://www.detmir.ru/product/index/id/3142016/
3244479,Конструктор LEGO DUPLO Шаровой таран 10932,2999,"['RU-MOW', 'RU-SPE']",4999,https://www.detmir.ru/product/index/id/3244479/
3226680,Конструктор LEGO City Great Vehicles Грузовик мороженщика 60253,969,"['RU-MOW', 'RU-SPE']",1499,https://www.detmir.ru/product/index/id/3226680/
3596772,Конструктор LEGO Friends Тренировка лошади и прицеп для перевозки 41441,1499,"['RU-MOW', 'RU-SPE']",2499,https://www.detmir.ru/product/index/id/3596772/
3597031,Конструктор LEGO Super Heroes Железный Человек Тони Старка на Сакааре 76194,1839,"['RU-MOW', 'RU-SPE']",2999,https://www.detmir.ru/product/index/id/3597031/
619001,Конструктор LEGO Classic Набор для творчества большого размера (10698),2339,"['RU-MOW', 'RU-SPE']",3799,https://www.detmir.ru/product/index/id/619001/
3777764,Конструктор LEGO City Occasions Новогодний календарь 60303,1699,"['RU-MOW', 'RU-SPE']",-,https://www.detmir.ru/product/index/id/3777764/
3596717,Конструктор LEGO DUPLO Disney Дом и кафе Минни 10942,2859,"['RU-MOW', 'RU-SPE']",4499,https://www.detmir.ru/product/index/id/3596717/
3405603,Конструктор LEGO DC Super Heroes Майлс Моралес Робот 76171,649,"['RU-MOW', 'RU-SPE']",999,https://www.detmir.ru/product/index/id/3405603/
3244598,Конструктор LEGO Harry Potter Тисовая улица дом 4 75968,3889,"['RU-MOW', 'RU-SPE']",6499,https://www.detmir.ru/product/index/id/3244598/
3405537,Конструктор LEGO Creator Кибердрон 31111,569,"['RU-MOW', 'RU-SPE']",899,https://www.detmir.ru/product/index/id/3405537/
3596973,Конструктор LEGO Ninjago Сверхзвуковой самолёт 71739,5149,"['RU-MOW', 'RU-SPE']",8499,https://www.detmir.ru/product/index/id/3596973/
